DeepSEA_auROC,DanQ_auROC,DanQ-JASPAR_auROC,ChromDL_auROC,DeepSEA_auPRC,DanQ_auPRC,DanQ-JASPAR_auPRC,ChromDL_auPRC
0.89254097,0.900130166,0.901235899,0.90515043,0.423588593,0.450061038,0.453210588,0.468318417
0.91525081,0.919063329,0.92211937,0.925874898,0.440569619,0.462554071,0.469811538,0.486153123
0.927696294,0.936626888,0.93815761,0.943588797,0.474421737,0.507124084,0.515373023,0.537088245
0.925775814,0.931199331,0.934741549,0.938375636,0.449561061,0.472241873,0.479768852,0.49056574
0.88951898,0.898169869,0.899453302,0.906422409,0.370682483,0.396086118,0.398472239,0.409461901
0.884814335,0.888671807,0.889827093,0.888628855,0.371164208,0.382462992,0.387421308,0.388864962
0.921872672,0.928336318,0.93012463,0.933946571,0.449938411,0.473229725,0.482514196,0.49652171
0.905203186,0.910960223,0.912026918,0.915335093,0.421861015,0.443110639,0.450596278,0.464304622
0.930299369,0.935057585,0.939385162,0.946667444,0.458325147,0.475666484,0.492027007,0.522016265
0.930558584,0.934397802,0.938987646,0.946136668,0.454067629,0.467205515,0.485416939,0.50955464
0.929469519,0.933983089,0.93873362,0.947097273,0.496045313,0.511617746,0.526547939,0.557754708
0.927775855,0.931594159,0.937095992,0.945530658,0.435678468,0.450782118,0.468007437,0.497754248
0.935139243,0.938648384,0.942811594,0.95047325,0.490765048,0.505472908,0.521607891,0.552828098
0.928060187,0.931480283,0.936177163,0.942997525,0.482402278,0.495689179,0.511219341,0.53562846
0.913226233,0.923358854,0.929123227,0.933824198,0.455811947,0.48768406,0.50330083,0.518179844
0.926037247,0.929964594,0.935985781,0.945590824,0.439970125,0.458422685,0.47697596,0.513333764
0.955102255,0.960224786,0.961473463,0.964289117,0.441368128,0.466043297,0.464905725,0.472268945
0.91735557,0.921265641,0.925173799,0.927272192,0.393695248,0.408692857,0.412875003,0.421108922
0.925500268,0.931613755,0.934295414,0.940930392,0.492005829,0.512627419,0.522019442,0.543763875
0.92867733,0.932726399,0.934052747,0.937533528,0.431632364,0.451966027,0.456212055,0.459819194
0.889120095,0.896151474,0.899674066,0.904672906,0.445489733,0.464858605,0.472285629,0.485507101
0.895268982,0.900092341,0.90398937,0.908457058,0.403355979,0.422704934,0.428678712,0.441209008
0.922875567,0.928168037,0.9320845,0.935044112,0.49779014,0.522322672,0.53371504,0.546157362
0.881399822,0.889606278,0.892614799,0.900874376,0.413226252,0.433169412,0.440624128,0.460034627
0.919644463,0.924336189,0.931423208,0.935133906,0.467415412,0.484969398,0.503933455,0.516808252
0.879333841,0.886669951,0.889293003,0.892618577,0.448818803,0.468345512,0.475581222,0.488269748
0.911713274,0.915105104,0.921444522,0.927152516,0.515793033,0.532229819,0.547476175,0.566766682
0.907026954,0.911881305,0.918563786,0.92523911,0.491525223,0.507032376,0.524483427,0.546093447
0.905654384,0.91025134,0.913820011,0.91865499,0.443358301,0.45839335,0.46459255,0.4781227
0.903535042,0.909450212,0.912163189,0.916293099,0.431172313,0.448794541,0.459298109,0.468471286
0.875751559,0.888040969,0.891706391,0.903425366,0.415626869,0.447367873,0.456644705,0.483047229
0.887666733,0.90026684,0.903055194,0.917367914,0.412665242,0.446333039,0.452704993,0.49074067
0.914142019,0.92285742,0.924649193,0.928703893,0.467052947,0.495979708,0.504652829,0.522789584
0.865216236,0.868458834,0.870107027,0.868679919,0.358268396,0.36969265,0.374678421,0.374573685
0.902955171,0.906325817,0.913024256,0.918584077,0.325694732,0.339640762,0.351983338,0.364378346
0.917940255,0.920424373,0.925095715,0.93035838,0.416340724,0.432802428,0.445786578,0.464863444
0.926324849,0.928959966,0.934696044,0.940254276,0.456179407,0.475609764,0.490064359,0.51619054
0.915536905,0.922664321,0.929822879,0.938182859,0.491315411,0.516703082,0.539376137,0.568621215
0.928486887,0.932807965,0.937698484,0.945798704,0.488779163,0.50498614,0.520887621,0.554029548
0.92657588,0.929766832,0.934323119,0.939939708,0.490511995,0.504802181,0.521432299,0.541160947
0.918749237,0.923991881,0.927614138,0.934124688,0.487849653,0.50821298,0.519989034,0.547321819
0.867568074,0.874952488,0.87873071,0.884748547,0.310400002,0.320739168,0.332435827,0.339516466
0.927589775,0.931986885,0.936133384,0.941993513,0.514265084,0.532339099,0.548055614,0.571215619
0.925915241,0.931512248,0.935084146,0.941493917,0.493296593,0.514891719,0.529582555,0.552039634
0.931345077,0.934961626,0.939079243,0.944880886,0.495776109,0.509271046,0.524231113,0.547888971
0.932838333,0.937135607,0.940706181,0.946566563,0.520672451,0.535590631,0.55218941,0.575746586
0.929426226,0.934706836,0.938605756,0.946609441,0.482897785,0.499734756,0.51794726,0.545572083
0.920136522,0.925845975,0.930834056,0.938867259,0.497224673,0.517815733,0.534348429,0.558670042
0.925107353,0.933589921,0.935270542,0.940984674,0.487741387,0.508816492,0.517166191,0.536201992
0.934086436,0.944775463,0.947125627,0.954942128,0.550144697,0.584639234,0.595482106,0.628983133
0.914313099,0.920195688,0.925789418,0.934764945,0.483184745,0.499426691,0.513007888,0.540933485
0.925130896,0.930162151,0.935200426,0.943034445,0.503032851,0.519701664,0.539155389,0.564718237
0.927895498,0.931761988,0.936724628,0.945208273,0.436616555,0.449268603,0.468470023,0.499024023
0.92460714,0.929424696,0.933695774,0.941045419,0.510321953,0.527166609,0.542414999,0.570415785
0.909168997,0.912948503,0.914988705,0.916216328,0.420474665,0.434052637,0.444017,0.452032082
0.936543989,0.941344829,0.944751337,0.951179844,0.529397625,0.545024482,0.562179855,0.586012372
0.927300707,0.932673767,0.936415971,0.942597697,0.448050586,0.461415477,0.475437094,0.493915006
0.933941611,0.938850963,0.94275831,0.9490844,0.48856194,0.505915173,0.523309246,0.54595889
0.92490559,0.930562772,0.934250521,0.941201852,0.483613366,0.503229369,0.517328604,0.536991812
0.927537478,0.931362901,0.935837451,0.942626042,0.448808658,0.464338058,0.481370016,0.501972234
0.93083652,0.935559372,0.94007474,0.946385409,0.479373278,0.496934681,0.513549238,0.533348098
0.930036611,0.93498251,0.939099734,0.94579225,0.477864802,0.493756205,0.509100828,0.531563666
0.93031706,0.935641981,0.938322891,0.944539871,0.496151971,0.513646915,0.526380132,0.544423826
0.923662478,0.928420167,0.933060234,0.939846445,0.464189708,0.480392578,0.495808241,0.519343578
0.929924195,0.934263045,0.939614115,0.94670641,0.529220674,0.548030438,0.56748289,0.593777475
0.924899556,0.930275495,0.933899753,0.939749583,0.428923145,0.447218344,0.460664603,0.47876845
0.933486188,0.938455552,0.942779043,0.948045342,0.527643973,0.544415526,0.560777761,0.581804873
0.926365566,0.930528537,0.935757455,0.942493575,0.458118523,0.472596168,0.491062931,0.514060201
0.930353804,0.935131077,0.939555139,0.94519462,0.479692582,0.496976706,0.513166779,0.530461644
0.921345216,0.925852185,0.93472923,0.943006341,0.484425155,0.497439549,0.523490093,0.551720321
0.923646859,0.927923156,0.935900281,0.944961896,0.494755261,0.510238699,0.532921209,0.563829756
0.910142935,0.91634245,0.920273386,0.927192747,0.421588234,0.437824541,0.450116524,0.464163159
0.913599259,0.919130082,0.925933655,0.932668241,0.459551331,0.477751957,0.497517318,0.522112309
0.911136725,0.915276263,0.920868446,0.92723441,0.423534352,0.434182038,0.447888711,0.465020574
0.921549587,0.928394527,0.931159925,0.936889108,0.461961112,0.488749781,0.498280654,0.512566122
0.936719544,0.940571234,0.942592162,0.947008973,0.459471993,0.478080611,0.484186458,0.505925467
0.931088121,0.937818421,0.939550009,0.943953618,0.463158464,0.488661132,0.494423481,0.514588676
0.931549681,0.934847887,0.939575054,0.94638373,0.495721047,0.50825804,0.526122827,0.556129009
0.930726524,0.933339634,0.938407113,0.946002808,0.507657124,0.521516314,0.537077715,0.570080347
0.925687729,0.928143403,0.93440938,0.943308324,0.457985012,0.469100691,0.48981512,0.523856152
